k,t,label_any_correct,entropy_bits,temperature,max_tokens,gold_answers,question,mi_bits,agreement,verify_score
10,3,0,0.000000,0.5,64,Ajit Wadekar | Ajit Laxman Wadekar,Who was the captain when india played its first-ever odi?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,six,How many working police commissionerates are there in karnataka?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,Post Alley under Pike Place Market | Pike Place Market | an alleyway in Post Alley | Post Alley | Pike Place Market in Downtown Seattle | Downtown Seattle,Where is the gum wall in seattle washington?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,Democritus | Epicurus | Leucippus,Who thought atoms and the void comprised all of reality?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,29th America's Cup | 6–13 May 1995 | 1995 | 20 February – 2 March 2000 | 30th America's Cup | 2000 | 35th staging of the America's Cup yacht race | 17–26 June 2017 | 2017 America's Cup | 2017,When did new zealand win the americas cup?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,"July 16, 2017 | April 21, 2016",When does game of thrones season 7 come on hbo?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,"1963 | 1983 | July 1, 1963",When did the us start using zip codes?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,"March 7, 2013 | On March 7, 2013 | March 7 , 2013",When does orange is the new black start filming?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,atria | Right Atrium | Atrioventricular node | AV node | SA node | sinoatrial node,Where are the group of cells that control the natural resting heart rate found?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,Jerome Cavanagh | Jerome Patrick Cavanagh,Who was the mayor of detroit in 1967?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,1836 | 1836 onwards | February 1835,When did the voortrekkers arrive in south africa?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,"Cleveland | Cleveland, OH | Columbus, Ohio | Columbus",Where is the cash explosion tv show taped?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,"Charles Philip Arthur George | Charles, Duke of Cornwall | Charles, Prince of Wales | Charles, Duke of Rothesay",Next in line to be king of britain?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,IMD | India Meteorological Department,Agencies in india responsible for warning natural disasters?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,Jarry Park Stadium | Stade Du Maurier | Stade IGA | Stade Uniprix | Du Maurier | Uniprix,Where is the rogers cup held in montreal?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,CLT | KCLT | 72314,What is the airport code for charlotte nc?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,Amelia Crouch | Anne Hathaway,Who plays the white queen in alice through the looking glass?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,Ford | toyota | ford | Toyota,What kind of car won the daytona 500 this year?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,James Pankow,Who wrote just you and me by chicago?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,"Mondelēz International | Cadbury | Cadbury Schweppes | Craig Sams | Josephine Fairley | Craig Sams, Josephine Fairley | formerly kraft foods",Who owns green and black's organic chocolate?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,Jason Newsted,Who played bass on and justice for all?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,Chicago Cubs | Chicago | Cubs | Cubs and Mariners | Chicago Cubs and Seattle Mariners | Chicago and Seattle | Seattle Mariners,Who has the most wins in a major league baseball season?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,Olympic Peninsula | Grays Harbor | Jefferson | Mason | Clallam,Where is olympic national park located in washington?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,"565 | 17 months | March 15, 2015 until August 21, 2016",How long did finding neverland run on broadway?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,Colin Munro,Who has become the first batsman to score three hundreds in t20 internationals?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,Season 7 | season seven | season 7 | season five | season 5 | Season 5,What season does meredith and derek get married in grey's anatomy?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,Emmanuel Goldstein | a committee that included himself | a committee,Who wrote the theory and practice of oligarchical collectivism?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,Santa Monica Pier | Los Angeles Zoo in Griffith Park | 2912 4th Street in Santa Monica | Los Angeles Zoo | Griffith Park | Santa Monica,Where was the opening of three's company filmed?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,"November 14, 2000 | April 10, 1985 | November 1998",When did the song angel first come out?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,Regina Ilyinichna Spektor | Regina Spektor,Who sang the orange is the new black theme song?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,"July 16, 2017 | April 24, 2016 | April 12, 2015 | July 16, 2017-August 27, 2017 | July 16 – August 27, 2017 | April 24, 2016-June 26, 2016 | April 24 – June 26, 2016 | April 12, 2015-June 14, 2015 | April 12 – June 14, 2015",When does the new season of got air?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,"July 17, 2012",When did the first land of stories come out?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,"Laura Pierson & Tyler Adams | Team SoCal | Blind date couple | ""Team SoCal"" | Laura & Tyler",Who won season 26 of the amazing race?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,Review organizational goal,The first step in management by objectives is?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,"Glenorchy | Queenstown and Glenorchy, in Otago, on the South Island of New Zealand | Queenstown | Moke Lake | Closeburn, Queenstown, South Island | Sydney, Australia | Queenstown and Glenorchy | Queenstown and Glenorchy, in Otago | Sydney",Where was 'top of the lake' filmed?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,Scott Kelly | Scott Joseph Kelly | Mikhail Borisovich Kornienko | Mikhail Kornienko | Scott Kelly and Mikhail Korniyenko,Who were the two astronauts who stayed a year on the iss?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,"March 18, 2016",When is season 2 of daredevil coming to netflix?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,Dulquer Salmaan,Who played the role of gemini ganeshan in mahanati?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,1895 and 1919 | start of the 20th century | early 1970s | 1970s,When did ragtime flourished in the united states?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,"April 23, 2018 | April 27, 2018",When is the releasing date of avengers infinity war?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,8,How many episodes are there in permanent roommates season 2?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,August 1978 | 2004,When was the commission fir sc/st established?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,Ashton Kutcher | Christopher Ashton Kutcher,First person to have 1 million followers on twitter?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,Simon & Garfunkel | Paul Simon and Art Garfunkel | Art Garfunkel | Paul Simon | Dami Im,Who is the original artist of sound of silence?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,Mallikarjun Kharge | Mallikarjun Kharge and K V Thomas | K V Thomas,Present chairman of public accounts committee of lok sabha?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,Conrad Walden | Sally Walden | Spencer Breslin | Dakota Fanning | Conrad | Sally | Tony Frazier | Pamelyn Ferdin | Sally and her brother,The cat in the hat boy and girl?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,Chiwetel Ejiofor | Courtney Philip | Chiwetel Umeadi Ejiofor,Who plays lola in kinky boots the movie?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,26 April 1915 | 23 May 1915 | 23 May,When did italy enter the first world war?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,"an audience already Christian | a gentile audience, probably in Rome, although Galilee, Antioch (third-largest city in the Roman Empire, located in northern Syria), and southern Syria have also been suggested | a gentile audience",Who was the book of mark written to?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,Nick Robinson,Who played ben parish in the 5th wave?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,.edu | .org,Which type of url is associated with non-profit organizations .gov .edu .org .com?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,Suresh Prabhu | Suresh Prabhakar Prabhu | D. V. Sadananda Gowda | Devaragunda Venkappa Sadananda Gowda | Mallikarjun Kharge | Mapanna Mallikarjun Kharge,Who is the new central railway minister of india?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,Lori Lieberman,Who sang killing me softly with his song first?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,0.09% | 13.5% | 1.3%,Share of hydroelectric power in total electricity produced in india?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,United States Department of Justice | DOJ,Which department in the presidents cabinet is led by the attorney general?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,1980 | 2008,When did the phillies win the world series?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,7 | 5,How many states in india are under congress?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,Instagram | Cristiano Ronaldo | Ronaldo,Who has the most number of followers on instagram?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,Tim Paterson | Microsoft,Who was the programmer of ms-dos operating system?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,Jimmy Carter,Who won the democratic nomination for president in 1980?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,"$30,000 | $15,000 | $2,500",Pay for star on hollywood walk of fame?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,Colman Domingo | Domingo,Who plays victor on fear the walking dead?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,2004 | 2012,When was the makkah royal clock tower hotel built?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,"John Powell | Jón Þór ""Jónsi"" Birgisson",Who wrote the music for how to train your dragon?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,1966 | 1966 FIFA World Cup Final | 30 July 1966,When did england win the world cup in soccer?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,Neil Young | Saint Etienne | Saint Etienne feat. Moira Lambert,Who sang only love can break your heart?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,Buffalo City Metropolitan Municipality | City of Cape Town Metropolitan Municipality | City of Johannesburg Metropolitan Municipality | City of Tshwane Metropolitan Municipality | City of Ekurhuleni Metropolitan Municipality | eThekwini Metropolitan Municipality | Mangaung Metropolitan Municipality | Nelson Mandela Bay Metropolitan Municipality,Names of the metropolitan municipalities in south africa?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,Gareth Ainsworth | Arsène Wenger,Who are the longest serving managers in the premier league?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,Alan Rickman | Alan Sidney Patrick Rickman,Who plays ronald reagan in lee daniels the butler?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,Duke | Duke Blue Devils | Auburn Tigers | Auburn,Who did fsu beat for the 2013 championship?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,Alycia Debnam-Carey | Debnam-Carey | Alycia Jasmin Debnam-Carey,Who plays alicia on fear the walking dead?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,"November 15, 2011 | September 6, 2012 | December 18, 2012",When did the first generation kindle fire come out?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,spring harvest season | spring | love,The festival of holi marks the end of winter and the beginning of?,0.000000,1.000000,0.000000
10,3,0,0.000000,0.5,64,fifth planet from the Sun,Where is the planet jupiter located in the solar system?,0.000000,1.000000,0.000000
10,3,0,3.321928,0.5,64,seasons 5 | Season 5 episode 1 | Season 5 episode 20 | Season 6 episode 8,When do riley and danny get together in baby daddy?,0.862496,0.100000,0.000000
10,3,0,3.321928,0.5,64,store energy,What is the function of starch granules in plant cells?,0.985645,0.100000,0.000000
10,3,0,3.321928,0.5,64,White Sox | Chicago White Sox | Chicago,Who did houston play in 2005 world series?,0.985645,0.100000,0.000000
10,3,0,3.321928,0.5,64,Belgium | Die Roten Teufel | Les Diables Rouges | Belgium national football team | De Rode Duivels,Who won third place in fifa world cup 2018?,0.985645,0.100000,0.000000
10,3,0,3.321928,0.5,64,bolsheviks | the bolsheviks | The Bolsheviks,What group came to power because of the russian revolution of 1917?,0.985645,0.100000,0.000000
10,3,0,3.321928,0.5,64,Brooks Koepka | United States | Park Sung-hyun | South Korea,Who won the us open golf in 2017?,0.985645,0.100000,0.000000
10,3,0,3.321928,0.5,64,Hephaestus | Hestia,Who was the god of fire greek mythology?,0.985645,0.100000,0.000000
10,3,0,3.321928,0.5,64,between Earth and the sun | new moon phase,Where is the moon located during a solar eclipse?,0.985645,0.100000,0.000000
10,3,0,3.321928,0.5,64,acrostic,Using the letters of a word to make a poem?,0.985645,0.100000,0.000000
10,3,0,3.321928,0.5,64,1912 | 21 March 1912,In which year was assam separated from bengal?,0.985645,0.100000,0.000000
10,3,0,3.321928,0.5,64,Aesop,Who wrote the story of the tortoise and the hare?,0.985645,0.100000,0.000000
10,3,0,3.321928,0.5,64,Hume | Allan Octavian Hume | A.O. Hume | Retired British Indian Civil Service (ICS) officer | A. O. Hume,Who is regarded as the founder of the indian national congress?,0.985645,0.100000,0.000000
10,3,0,3.321928,0.5,64,Fauquier | Loudoun | Prince William | Stafford | Arlington | Fairfax | Alexandria | Falls Church | Manassas | Manassas Park | Northern Virginia | NOVA,Where is the telephone area code 571 located?,0.985645,0.100000,0.000000
10,3,0,3.321928,0.5,64,June 2004 | 2020,When does the new army uniform come out?,0.985645,0.100000,0.000000
10,3,0,3.321928,0.5,64,"Qatar | Capetown,  South Africa",Who is hosting the next world cup 2022?,0.985645,0.100000,0.000000
10,3,0,3.321928,0.5,64,25 | 26,How many episode in seven deadly sins season 2?,0.985645,0.100000,0.000000
10,3,0,3.321928,0.5,64,"March 26,1982 | 1982 | November 13,1982",When was the vietnam veterans war memorial built?,0.985645,0.100000,0.000000
10,3,0,3.321928,0.5,64,Stuart Hamblen | Carl Stuart Hamblen | Hamblen,Who wrote it is no secret what god can do?,0.985645,0.100000,0.000000
